  17.2   2929155   2929173   2929155    -203.131      500 
  17.3   2929151   2929006   2929151    -189.783      500 
  17.4   2928791   2928919   2928791    -181.186      500 
  17.5   2928707   2928823   2928707    -175.838      500 
  17.6   2928822   2928705   2928822    -164.314      500 
  17.7   2928760   2928617   2928760    -147.565      500 
  17.8   2928551   2928541   2928551    -126.292      500 
  17.9   2928275   2928467   2928275    -106.891      500 
  18.0   2928273   2928324   2928273     -88.505      500 
  18.1   2928301   2928108   2928301     -73.718      500 
  18.2   2928117   2927922   2928117     -59.606      500 
  18.3   2927725   2927775   2927725     -48.283      500 
  18.4   2927534   2927699   2927534     -32.949      500 
  18.5   2927403   2927629   2927403     -17.442      500 
  18.6   2927681   2927638   2927681      -3.806      500 
  18.7   2927809   2927738   2927809       4.482      500 
  18.8   2928023   2927897   2928023       7.387      500 
  18.9   2927945   2928017   2927945       7.427      500 
  19.0   2928176   2928092   2928176       6.735      500 
  19.1   2928205   2928159   2928205       9.410      500 
  19.2   2928212   2928293   2928212      14.895      500 
  19.3   2928163   2928406   2928163      20.725      500 
  19.4   2928377   2928455   2928377      27.444      500 
  19.5   2928709   2928383   2928709      32.586      500 
  19.6   2928649   2928264   2928649      32.500      500 
  19.7   2928105   2928123   2928105      28.884      500 
  19.8   2927687   2927975   2927687      17.497      500 
  19.9   2927589   2927808   2927589       6.978      500 
  20.0   2927740   2927749   2927740      -4.196      500 
  20.1   2927948   2927886   2927948      -7.932      500 
  20.2   2928101   2928188   2928101     -14.390      500 
  20.3   2928310   2928512   2928310     -24.957      500 
  20.4   2928829   2928696   2928829     -40.342      500 
  20.5   2929028   2928719   2929028     -49.439      500 
  20.6   2928919   2928595   2928919     -51.681      500 
  20.7   2928493   2928435   2928493     -49.818      500 
  20.8   2927835   2928235   2927835     -56.361      500 
  20.9   2927669   2927998   2927669     -68.832      500 
  21.0   2927669   2927755   2927669     -82.701      500 
  21.1   2927960   2927568   2927960     -93.904      500 
  21.2   2927697   2927431   2927697    -104.396      500 
  21.3   2927322   2927364   2927322    -117.282      500 
  21.4   2926916   2927264   2926916    -132.404      500 
  21.5   2927040   2927154   2927040    -138.757      500 
  21.6   2927069   2927054   2927069    -133.656      500 
  21.7   2927287   2927060   2927287    -125.100      500 
  21.8   2927102   2927107   2927102    -117.560      500 
  21.9   2927005   2927121   2927005    -123.470      500 
  22.0   2926937   2926977   2926937    -130.339      500 
  22.1   2926911   2926706   2926911    -131.262      500 
  22.2   2926654   2926400   2926654    -121.622      500 
  22.3   2926172   2926136   2926172    -113.891      500 
  22.4   2925577   2925955   2925577    -106.825      500 
  22.5   2925408   2925784   2925408    -105.669      500 
  22.6   2925729   2925614   2925729     -99.905      500 
  22.7   2925785   2925501   2925785     -98.749      500 
  22.8   2925862   2925489   2925862     -91.990      500 
  22.9   2925287   2925490   2925287     -86.291      500 
  23.0   2925141   2925476   2925141     -77.473      500 
  23.1   2925346   2925421   2925346     -63.645      500 
  23.2   2925607   2925463   2925607     -46.665      500 
  23.3   2925514   2925492   2925514     -30.653      500 
  23.4   2925657   2925543   2925657     -21.414      500 
  23.5   2925482   2925477   2925482     -14.551      500 
  23.6   2925557   2925323   2925557      -1.722      500 
  23.7   2925022   2925180   2925022      17.565      500 
  23.8   2925009   2925101   2925009      41.184      500 
  23.9   2924903   2925071   2924903      61.687      500 
  24.0   2925030   2925076   2925030      70.538      500 
  24.1   2925293   2925091   2925293      72.029      500 
  24.2   2925400   2925245   2925400      69.792      500 
  24.3   2925457   2925415   2925457      67.935      500 
  24.4   2925346   2925691   2925346      65.058      500 
  24.5   2925735   2925981   2925735      68.997      500 
  24.6   2926396   2926267   2926396      73.321      500 
  24.7   2926639   2926538   2926639      79.571      500 
  24.8   2927002   2926713   2927002      71.229      500 
  24.9   2926799   2926742   2926799      60.296      500 
  25.0   2926628   2926562   2926628      45.890      500 
  25.1   2926356   2926308   2926356      31.545      500 
  25.2   2925965   2926113   2925965      17.297      500 
  25.3   2925769   2926039   2925769       1.796      500 
  25.4   2925809   2926068   2925809     -11.534      500 
  25.5   2926206   2926134   2926206     -27.736      500 
  25.6   2926483   2926227   2926483     -40.797      500 
  25.7   2926649   2926330   2926649     -45.984      500 
  25.8   2926223   2926365   2926223     -49.099      500 
  25.9   2926158   2926286   2926158     -39.584      500 
  26.0   2926122   2926149   2926122     -26.748      500 
  26.1   2926109   2926032   2926109      -9.355      500 
  26.2   2925935   2925953   2925935      -1.049      500 
  26.3   2925785   2925936   2925785      -5.277      500 
  26.4   2925928   2925825   2925928     -16.843      500 
  26.5   2925876   2925718   2925876     -26.730      500 
  26.6   2925743   2925645   2925743     -30.271      500 
  26.7   2925623   2925729   2925623     -28.370      500 
  26.8   2925438   2925891   2925438     -24.495      500 
  26.9   2925891   2926032   2925891     -29.184      500 
  27.0   2926259   2926122   2926259     -37.796      500 
  27.1   2926744   2926157   2926744     -47.249      500 
  27.2   2926355   2926122   2926355     -55.977      500 
  27.3   2925820   2926026   2925820     -59.714      500 
  27.4   2925456   2925845   2925456     -57.296      500 
  27.5   2925510   2925660   2925510     -48.491      500 
  27.6   2925532   2925477   2925532     -39.496      500 
  27.7   2925579   2925378   2925579     -39.477      500 
  27.8   2925458   2925240   2925458     -46.119      500 
  27.9   2925148   2925057   2925148     -56.473      500 
  28.0   2924810   2924893   2924810     -59.794      500 
  28.1   2924650   2924840   2924650     -52.539      500 
  28.2   2924573   2924949   2924573     -36.935      500 
  28.3   2924995   2925151   2924995     -23.892      500 
  28.4   2925540   2925357   2925540     -19.786      500 
  28.5   2925850   2925494   2925850     -19.438      500 
  28.6   2925914   2925496   2925914     -15.649      500 
  28.7   2925373   2925417   2925373      -9.034      500 
  28.8   2924955   2925235   2924955       3.000      500 
  28.9   2924806   2925066   2924806      15.065      500 
  29.0   2924786   2924943   2924786      23.400      500 
